Age,RF,Demographic Groups,Sterilization,Combined oral contraceptives,Progestin-only pill,Copper IUD,Levonorgestrel IUD,Injectable,Implant,Condom,Withdrawal,No method
A15_19,0,A15_19_0,760,760,760,760,760,760,760,760,760,760
A20_24,0,A20_24_0,1010,1010,1010,1010,1010,1010,1010,1010,1010,1010
A24_29,0,A24_29_0,1010,1010,1010,1010,1010,1010,1010,1010,1010,1010
A30_34,0,A30_34_0,430,430,430,430,430,430,430,430,430,430
A35_39,0,A35_39_0,440,440,440,440,440,440,440,440,440,440
A40_44,0,A40_44_0,280,280,280,280,280,280,280,280,280,280
A45_49,0,A45_49_0,280,280,280,280,280,280,280,280,280,280
A15_19,Obesity,A15_19_Obesity,760,760,760,760,760,760,760,760,760,760
A20_24,Obesity,A20_24_Obesity,1010,1010,1010,1010,1010,1010,1010,1010,1010,1010
A24_29,Obesity,A24_29_Obesity,1010,1010,1010,1010,1010,1010,1010,1010,1010,1010
A30_34,Obesity,A30_34_Obesity,430,430,430,430,430,430,430,430,430,430
A35_39,Obesity,A35_39_Obesity,440,440,440,440,440,440,440,440,440,440
A40_44,Obesity,A40_44_Obesity,280,280,280,280,280,280,280,280,280,280
A45_49,Obesity,A45_49_Obesity,280,280,280,280,280,280,280,280,280,280
A15_19,Htn,A15_19_Htn,760,760,760,760,760,760,760,760,760,760
A20_24,Htn,A20_24_Htn,1010,1010,1010,1010,1010,1010,1010,1010,1010,1010
A24_29,Htn,A24_29_Htn,1010,1010,1010,1010,1010,1010,1010,1010,1010,1010
A30_34,Htn,A30_34_Htn,430,430,430,430,430,430,430,430,430,430
A35_39,Htn,A35_39_Htn,440,440,440,440,440,440,440,440,440,440
A40_44,Htn,A40_44_Htn,280,280,280,280,280,280,280,280,280,280
A45_49,Htn,A45_49_Htn,280,280,280,280,280,280,280,280,280,280
A15_19,Smoker,A15_19_Smoker,760,760,760,760,760,760,760,760,760,760
A20_24,Smoker,A20_24_Smoker,1010,1010,1010,1010,1010,1010,1010,1010,1010,1010
A24_29,Smoker,A24_29_Smoker,1010,1010,1010,1010,1010,1010,1010,1010,1010,1010
A30_34,Smoker,A30_34_Smoker,430,430,430,430,430,430,430,430,430,430
A35_39,Smoker,A35_39_Smoker,440,440,440,440,440,440,440,440,440,440
A40_44,Smoker,A40_44_Smoker,280,280,280,280,280,280,280,280,280,280
A45_49,Smoker,A45_49_Smoker,280,280,280,280,280,280,280,280,280,280
